Type,Name,id,Lv,Hp,BuildTime,BuildCostWoods,TargetsType,Atk,SplashAtkValue,AtkSpeed,AtkRange,MinAtkRange,DamageRange,CombatPower,AtkTargets,SelectAttackPatternTypesArray,SelectUnitTypesArray
Catapult,Mortar,18,13,63534,864000,562500,1,2129,2129,0.2,260,60,20,8516,1,"1,2","1,4"
Catapult,Mortar,18,14,77042,1036800,687500,1,2526,2526,0.2,260,60,20,10104,1,"1,2","1,4"
Catapult,Mortar,18,15,93500,1209600,875000,1,3001,3001,0.2,260,60,20,12004,1,"1,2","1,4"
Catapult,Mortar,18,16,120031,1209600,1000000,1,3631,3631,0.2,260,60,20,14212,1,"1,2","1,4"
Cannon,Cannon,9,0,0,0,0,1,0,0,0,70,0,10,0,1,"1,2","1,4"
Cannon,Cannon,9,1,3750,60,16000,1,900,300,0.5,70,0,10,540,1,"1,2","1,4"
Cannon,Cannon,9,2,6143,1800,31250,1,1404,468,0.5,70,0,10,842,1,"1,2","1,4"
Cannon,Cannon,9,3,9229,3600,46000,1,2013,671,0.5,70,0,10,1208,1,"1,2","1,4"
Cannon,Cannon,9,4,13059,10800,62500,1,2725,908,0.5,70,0,10,1635,1,"1,2","1,4"
Cannon,Cannon,9,5,17700,21600,93750,1,3540,1180,0.5,70,0,10,2124,1,"1,2","1,4"
Cannon,Cannon,9,6,23239,43200,125000,1,4462,1487,0.5,70,0,10,2677,1,"1,2","1,4"
Cannon,Cannon,9,7,29790,86400,160000,1,5499,1833,0.5,70,0,10,3299,1,"1,2","1,4"
Cannon,Cannon,9,8,37499,129600,200000,1,6666,2222,0.5,70,0,10,4000,1,"1,2","1,4"
Cannon,Cannon,9,9,46558,259200,250000,1,7981,2660,0.5,70,0,10,4789,1,"1,2","1,4"
Cannon,Cannon,9,10,57217,432000,325000,1,9470,3156,0.5,70,0,10,5682,1,"1,2","1,4"
Cannon,Cannon,9,11,69802,604800,400000,1,11168,3722,0.5,70,0,10,6701,1,"1,2","1,4"
Cannon,Cannon,9,12,84734,864000,500000,1,13120,4373,0.5,70,0,10,7872,1,"1,2","1,4"
Cannon,Cannon,9,13,102564,1036800,700000,1,15384,5128,0.5,70,0,10,9230,1,"1,2","1,4"
Cannon,Cannon,9,14,124009,1209600,850000,1,18037,6012,0.5,70,0,10,10822,1,"1,2","1,4"
Cannon,Cannon,9,15,150000,1382400,1100000,1,21176,7058,0.5,70,0,10,12706,1,"1,2","1,4"
BattleMine,Bomb,,0,0,0,0,1,0,0,0,0,0,0,0,1,"1,2","1,4"
BattleMine,Bomb,,1,0,0,19200,1,1500,0,0,0,0,42,216,1,"1,2","1,4"
BattleMine,Bomb,,2,0,0,37500,1,2457,0,0,0,0,42,337,1,"1,2","1,4"
BattleMine,Bomb,,3,0,0,55200,1,3691,0,0,0,0,42,483,1,"1,2","1,4"
BattleMine,Bomb,,4,0,0,75000,1,5223,0,0,0,0,42,654,1,"1,2","1,4"
BattleMine,Bomb,,5,0,0,112500,1,7080,0,0,0,0,42,850,1,"1,2","1,4"
BattleMine,Bomb,,6,0,0,150000,1,9295,0,0,0,0,42,1071,1,"1,2","1,4"
BattleMine,Bomb,,7,0,0,192000,1,11916,0,0,0,0,42,1320,1,"1,2","1,4"
BattleMine,Bomb,,8,0,0,240000,1,14999,0,0,0,0,42,1600,1,"1,2","1,4"
BattleMine,Bomb,,9,0,0,300000,1,18623,0,0,0,0,42,1915,1,"1,2","1,4"
BattleMine,Bomb,,10,0,0,390000,1,22887,0,0,0,0,42,2273,1,"1,2","1,4"
BattleMine,Bomb,,11,0,0,480000,1,27920,0,0,0,0,42,2680,1,"1,2","1,4"
BattleMine,Bomb,,12,0,0,600000,1,33893,0,0,0,0,42,3149,1,"1,2","1,4"
BattleMine,Bomb,,13,0,0,840000,1,41025,0,0,0,0,42,3692,1,"1,2","1,4"
BattleMine,Bomb,,14,0,0,1020000,1,49603,0,0,0,0,42,4329,1,"1,2","1,4"
BattleMine,Bomb,,15,0,0,1320000,1,60000,0,0,0,0,42,5082,1,"1,2","1,4"
